"Step","clear-butterfly-13 - loss","clear-butterfly-13 - loss__MIN","clear-butterfly-13 - loss__MAX","ruby-dream-12 - loss","ruby-dream-12 - loss__MIN","ruby-dream-12 - loss__MAX","fanciful-haze-11 - loss","fanciful-haze-11 - loss__MIN","fanciful-haze-11 - loss__MAX","eager-dream-10 - loss","eager-dream-10 - loss__MIN","eager-dream-10 - loss__MAX"
"0","1196.7938142817072","1196.7938142817072","1196.7938142817072","1216.0231214158077","1216.0231214158077","1216.0231214158077","1205.1244212049119","1205.1244212049119","1205.1244212049119","1214.374001231092","1214.374001231092","1214.374001231092"
"1","1158.6595201857547","1158.6595201857547","1158.6595201857547","1145.9122240431766","1145.9122240431766","1145.9122240431766","1141.5986159304355","1141.5986159304355","1141.5986159304355","1137.264388713431","1137.264388713431","1137.264388713431"
"2","1158.7502099869098","1158.7502099869098","1158.7502099869098","1144.9466663117105","1144.9466663117105","1144.9466663117105","1138.713581361162","1138.713581361162","1138.713581361162","1129.2982746530085","1129.2982746530085","1129.2982746530085"
"3","1162.2426327969165","1162.2426327969165","1162.2426327969165","1147.7867306973071","1147.7867306973071","1147.7867306973071","1138.9425470879737","1138.9425470879737","1138.9425470879737","1126.0282778476146","1126.0282778476146","1126.0282778476146"
"4","1166.4853092274768","1166.4853092274768","1166.4853092274768","1150.6064259630568","1150.6064259630568","1150.6064259630568","1140.9042949270695","1140.9042949270695","1140.9042949270695","1124.8465395663648","1124.8465395663648","1124.8465395663648"
"5","1170.7248527364527","1170.7248527364527","1170.7248527364527","1153.1799272253159","1153.1799272253159","1153.1799272253159","1142.3957324738199","1142.3957324738199","1142.3957324738199","1124.5705974173038","1124.5705974173038","1124.5705974173038"
"6","1174.4719294121926","1174.4719294121926","1174.4719294121926","1155.4923285301695","1155.4923285301695","1155.4923285301695","1144.196311268908","1144.196311268908","1144.196311268908","1124.5724244462683","1124.5724244462683","1124.5724244462683"
"7","1178.0674374844166","1178.0674374844166","1178.0674374844166","1157.7330463815242","1157.7330463815242","1157.7330463815242","1145.73674874813","1145.73674874813","1145.73674874813","1124.711880687957","1124.711880687957","1124.711880687957"
"8","1181.1639039384559","1181.1639039384559","1181.1639039384559","1159.7765082176695","1159.7765082176695","1159.7765082176695","1146.9712682845745","1146.9712682845745","1146.9712682845745","1124.8843978557181","1124.8843978557181","1124.8843978557181"
"9","1184.0557852237782","1184.0557852237782","1184.0557852237782","1161.8720599235373","1161.8720599235373","1161.8720599235373","1148.5611303451215","1148.5611303451215","1148.5611303451215","1125.0506255454206","1125.0506255454206","1125.0506255454206"
"10","1186.9324865462931","1186.9324865462931","1186.9324865462931","1163.8706628677692","1163.8706628677692","1163.8706628677692","1149.818119130236","1149.818119130236","1149.818119130236","1125.2938346700466","1125.2938346700466","1125.2938346700466"
"11","1189.1965390469165","1189.1965390469165","1189.1965390469165","1165.5614379882813","1165.5614379882813","1165.5614379882813","1151.1106025858128","1151.1106025858128","1151.1106025858128","1125.5575090124253","1125.5575090124253","1125.5575090124253"
"12","1191.2419856943982","1191.2419856943982","1191.2419856943982","1167.3510361691738","1167.3510361691738","1167.3510361691738","1152.6577162722324","1152.6577162722324","1152.6577162722324","1125.7028943650266","1125.7028943650266","1125.7028943650266"
"13","1191.1012005745097","1191.1012005745097","1191.1012005745097","1166.9980028517703","1166.9980028517703","1166.9980028517703","1152.1229009100732","1152.1229009100732","1152.1229009100732","1125.5682704195062","1125.5682704195062","1125.5682704195062"
"14","1190.6764731549201","1190.6764731549201","1190.6764731549201","1166.8118260160406","1166.8118260160406","1166.8118260160406","1151.6992697857795","1151.6992697857795","1151.6992697857795","1125.2370444439828","1125.2370444439828","1125.2370444439828"
"15","1190.6086173848903","1190.6086173848903","1190.6086173848903","1166.5262003147857","1166.5262003147857","1166.5262003147857","1151.4969642152178","1151.4969642152178","1151.4969642152178","1124.808380256815","1124.808380256815","1124.808380256815"
"16","1190.6156052609708","1190.6156052609708","1190.6156052609708","1166.4347609499669","1166.4347609499669","1166.4347609499669","1151.1523871239197","1151.1523871239197","1151.1523871239197","1124.645511059051","1124.645511059051","1124.645511059051"
"17","1190.3365416181848","1190.3365416181848","1190.3365416181848","1165.9920243932845","1165.9920243932845","1165.9920243932845","1151.0263269302693","1151.0263269302693","1151.0263269302693","1124.5308482068651","1124.5308482068651","1124.5308482068651"
"18","1190.1723947078624","1190.1723947078624","1190.1723947078624","1165.8007274871177","1165.8007274871177","1165.8007274871177","1150.6953871706698","1150.6953871706698","1150.6953871706698","1124.3020077969165","1124.3020077969165","1124.3020077969165"
"19","1190.1789240410988","1190.1789240410988","1190.1789240410988","1165.626919231009","1165.626919231009","1165.626919231009","1150.625616195354","1150.625616195354","1150.625616195354","1124.0815485528176","1124.0815485528176","1124.0815485528176"
"20","1190.1221000509058","1190.1221000509058","1190.1221000509058","1165.5600991107049","1165.5600991107049","1165.5600991107049","1150.4593211072556","1150.4593211072556","1150.4593211072556","1124.0079830088514","1124.0079830088514","1124.0079830088514"
"21","1189.9597217316323","1189.9597217316323","1189.9597217316323","1165.392716428067","1165.392716428067","1165.392716428067","1150.318566375083","1150.318566375083","1150.318566375083","1123.7987076130319","1123.7987076130319","1123.7987076130319"
"22","1189.8991571953957","1189.8991571953957","1189.8991571953957","1165.0996952138048","1165.0996952138048","1165.0996952138048","1150.1743452356218","1150.1743452356218","1150.1743452356218","1123.6061124761054","1123.6061124761054","1123.6061124761054"
"23","1189.847547036029","1189.847547036029","1189.847547036029","1164.920759485123","1164.920759485123","1164.920759485123","1149.942814214179","1149.942814214179","1149.942814214179","1123.5216816354305","1123.5216816354305","1123.5216816354305"
"24","1189.5561809133976","1189.5561809133976","1189.5561809133976","1164.8970620013297","1164.8970620013297","1164.8970620013297","1149.7462285467918","1149.7462285467918","1149.7462285467918","1123.4346403081365","1123.4346403081365","1123.4346403081365"
"25","1189.3162908026513","1189.3162908026513","1189.3162908026513","1164.7159304355052","1164.7159304355052","1164.7159304355052","1149.6061098788648","1149.6061098788648","1149.6061098788648","1123.2496667740193","1123.2496667740193","1123.2496667740193"
"26","1189.4791745449634","1189.4791745449634","1189.4791745449634","1164.4932475637881","1164.4932475637881","1164.4932475637881","1149.5596403081365","1149.5596403081365","1149.5596403081365","1123.2157388890043","1123.2157388890043","1123.2157388890043"
"27","1189.24203686004","1189.24203686004","1189.24203686004","1164.4077215965758","1164.4077215965758","1164.4077215965758","1149.291597666639","1149.291597666639","1149.291597666639","1123.1285739330535","1123.1285739330535","1123.1285739330535"
"28","1189.340497865068","1189.340497865068","1189.340497865068","1164.490091526762","1164.490091526762","1164.490091526762","1149.2115181131567","1149.2115181131567","1149.2115181131567","1122.9138180996508","1122.9138180996508","1122.9138180996508"
"29","1189.2929223892536","1189.2929223892536","1189.2929223892536","1164.2704218438332","1164.2704218438332","1164.2704218438332","1149.132745101604","1149.132745101604","1149.132745101604","1122.872152515168","1122.872152515168","1122.872152515168"
"30","1189.0007386552527","1189.0007386552527","1189.0007386552527","1164.19746859936","1164.19746859936","1164.19746859936","1149.006505049036","1149.006505049036","1149.006505049036","1122.744669942653","1122.744669942653","1122.744669942653"
"31","1189.1424470942072","1189.1424470942072","1189.1424470942072","1164.0051751319397","1164.0051751319397","1164.0051751319397","1148.8557256171043","1148.8557256171043","1148.8557256171043","1122.5904741003158","1122.5904741003158","1122.5904741003158"
"32","1188.8331459857047","1188.8331459857047","1188.8331459857047","1163.9194125561005","1163.9194125561005","1163.9194125561005","1148.897385227934","1148.897385227934","1148.897385227934","1122.5766395081864","1122.5766395081864","1122.5766395081864"
"33","1188.9446948761636","1188.9446948761636","1188.9446948761636","1163.642544880319","1163.642544880319","1163.642544880319","1148.7147246665143","1148.7147246665143","1148.7147246665143","1122.4617251132397","1122.4617251132397","1122.4617251132397"
"34","1188.9365585002492","1188.9365585002492","1188.9365585002492","1163.6928195385224","1163.6928195385224","1163.6928195385224","1148.6588673693068","1148.6588673693068","1148.6588673693068","1122.5250176612367","1122.5250176612367","1122.5250176612367"
"35","1188.6637749854553","1188.6637749854553","1188.6637749854553","1163.601216937126","1163.601216937126","1163.601216937126","1148.4460427142203","1148.4460427142203","1148.4460427142203","1122.3434141767787","1122.3434141767787","1122.3434141767787"
"36","1188.4985600897605","1188.4985600897605","1188.4985600897605","1163.4105788210604","1163.4105788210604","1163.4105788210604","1148.5578506794382","1148.5578506794382","1148.5578506794382","1122.4171982785488","1122.4171982785488","1122.4171982785488"
"37","1188.4184167740193","1188.4184167740193","1188.4184167740193","1163.4608915288397","1163.4608915288397","1163.4608915288397","1148.2884000737615","1148.2884000737615","1148.2884000737615","1122.2230399923121","1122.2230399923121","1122.2230399923121"
"38","1188.5532659003075","1188.5532659003075","1188.5532659003075","1163.4378788075549","1163.4378788075549","1163.4378788075549","1148.4026760669465","1148.4026760669465","1148.4026760669465","1122.213638630319","1122.213638630319","1122.213638630319"
"39","1188.5404826712102","1188.5404826712102","1188.5404826712102","1163.347040703956","1163.347040703956","1163.347040703956","1148.190080488489","1148.190080488489","1148.190080488489","1122.14765625","1122.14765625","1122.14765625"
"40","1188.4139838036072","1188.4139838036072","1188.4139838036072","1163.234637451172","1163.234637451172","1163.234637451172","1148.1450626454455","1148.1450626454455","1148.1450626454455","1121.992623706574","1121.992623706574","1121.992623706574"
"41","1188.452036236702","1188.452036236702","1188.452036236702","1163.0410554926445","1163.0410554926445","1163.0410554926445","1148.1356949177193","1148.1356949177193","1148.1356949177193","1122.050345692736","1122.050345692736","1122.050345692736"
"42","1188.3182835355717","1188.3182835355717","1188.3182835355717","1163.123759687708","1163.123759687708","1163.123759687708","1147.9876557045795","1147.9876557045795","1147.9876557045795","1122.0818217825383","1122.0818217825383","1122.0818217825383"
"43","1188.3364921407497","1188.3364921407497","1188.3364921407497","1163.0620628843917","1163.0620628843917","1163.0620628843917","1147.9080520954537","1147.9080520954537","1147.9080520954537","1121.8829000270114","1121.8829000270114","1121.8829000270114"
"44","1188.0856131046376","1188.0856131046376","1188.0856131046376","1162.8242018679355","1162.8242018679355","1162.8242018679355","1147.8920182897689","1147.8920182897689","1147.8920182897689","1122.011233715301","1122.011233715301","1122.011233715301"
"45","1188.1134996779422","1188.1134996779422","1188.1134996779422","1162.9942016601562","1162.9942016601562","1162.9942016601562","1147.7560529992936","1147.7560529992936","1147.7560529992936","1121.7549147585605","1121.7549147585605","1121.7549147585605"
"46","1188.1429871904088","1188.1429871904088","1188.1429871904088","1162.7329914498837","1162.7329914498837","1162.7329914498837","1147.777678144739","1147.777678144739","1147.777678144739","1121.7019129976313","1121.7019129976313","1121.7019129976313"
"47","1188.1657847303024","1188.1657847303024","1188.1657847303024","1162.618152894365","1162.618152894365","1162.618152894365","1147.70300500748","1147.70300500748","1147.70300500748","1121.8396201275764","1121.8396201275764","1121.8396201275764"
"48","1188.0091915049452","1188.0091915049452","1188.0091915049452","1162.7163491107049","1162.7163491107049","1162.7163491107049","1147.7285035478308","1147.7285035478308","1147.7285035478308","1121.7921034792637","1121.7921034792637","1121.7921034792637"
"49","1187.979912680768","1187.979912680768","1187.979912680768","1162.6503625748005","1162.6503625748005","1162.6503625748005","1147.5724592492936","1147.5724592492936","1147.5724592492936","1121.66486673558","1121.66486673558","1121.66486673558"